subject,relation,object
A_star,used_in,Indoor
Dijkstra,used_in,Indoor
RRT,used_in,Outdoor
RRT_star,used_in,Outdoor
DWA,used_in,Dynamic
Potential_Field,used_in,Dynamic
SLAM,used_in,Unknown
AMCL,used_in,Indoor
RRT,used_in,Cluttered
DWA,used_in,Urban
SLAM,requires,Lidar
SLAM,requires,Camera
AMCL,requires,Lidar
Localization,requires,GPS
Obstacle_Avoidance,requires,Lidar
Obstacle_Avoidance,requires,Ultrasonic
Mapping,requires,Lidar
Mapping,requires,Camera
Navigation,requires,Odometry
Navigation,requires,IMU
A_star,evaluated_by,Path_Length
Dijkstra,evaluated_by,Path_Length
RRT,evaluated_by,Computation_Time
RRT_star,evaluated_by,Path_Length
DWA,evaluated_by,Safety_Margin
Potential_Field,evaluated_by,Smoothness
SLAM,evaluated_by,Success_Rate
AMCL,evaluated_by,Success_Rate
A_star,performs,Path_Planning
Dijkstra,performs,Path_Planning
RRT,performs,Path_Planning
RRT_star,performs,Path_Planning
DWA,performs,Obstacle_Avoidance
Potential_Field,performs,Obstacle_Avoidance
SLAM,performs,Mapping
SLAM,performs,Localization
AMCL,performs,Localization
A_star,compared_with,Dijkstra
RRT,compared_with,RRT_star
DWA,compared_with,Potential_Field
SLAM,compared_with,AMCL
Lidar,used_in,Indoor
Camera,used_in,Indoor
GPS,used_in,Outdoor
GPS,used_in,Urban
Ultrasonic,used_in,Cluttered
