entity,type,description,embedding
A_star,Algorithm,A star heuristic search path planning algorithm,"[0.0030506199691444635, -0.12335077673196793, 0.27118754386901855, -0.033127449452877045, -0.05373495817184448, -0.2730732858181, -0.0708300769329071, -0.030398117378354073, -0.12847262620925903, -0.06957481801509857, 0.12695883214473724, -0.16639438271522522, 0.04698678478598595, -0.14129599928855896, 0.011641442775726318, -0.04733765497803688, 0.06534488499164581, 0.023390406742691994, -0.07595820724964142, 0.10984792560338974, 0.15378467738628387, 0.1415121853351593, 0.12883992493152618, -0.0450853630900383, 0.07533101737499237, 0.16810277104377747, -0.12297634035348892, 0.0993238240480423, -0.0405280776321888, -0.029201645404100418, -0.22103360295295715, -0.019367406144738197, -0.10327187180519104, 0.041476693004369736, -0.12464165687561035, -0.12057273834943771, 0.1661349982023239, -0.01625392585992813, 0.21375229954719543, -0.08265192806720734, -0.029618846252560616, -0.013379791751503944, 0.0945052057504654, -0.05188102275133133, -0.014298828318715096, 0.09207094460725784, -0.06296790391206741, -0.19226035475730896, -0.03369014710187912, 0.08045930415391922, 0.14892423152923584, -0.06011729687452316, 0.13329260051250458, -0.047679588198661804, 0.007661095354706049, -0.08439682424068451, 0.16780783236026764, -0.11719754338264465, -0.07768844068050385, 0.11310569941997528, 0.053735822439193726, -0.21802973747253418, -0.08997984230518341, -0.07832123339176178, 0.06937148422002792, -0.07735093683004379, -0.053760770708322525, 0.0721074715256691, 0.11529288440942764, 0.028889473527669907, 0.14607082307338715, 0.05399177595973015, -0.17466168105602264, -0.026605699211359024, -0.10167378932237625, -0.11299143731594086, -0.024446120485663414, 0.04945164918899536, -0.08137505501508713, 0.21501541137695312, -0.07278624176979065, -0.031239135190844536, 0.043045707046985626, 0.14525216817855835, 0.07506369799375534, 0.10653097927570343, 0.014384143054485321, 0.007048625964671373, 0.006789484526962042, 0.14154939353466034, -0.11721733957529068, -0.012760285288095474, -0.05497261509299278, 0.0051961904391646385, 0.2381313294172287, -0.08325854688882828, -0.16542311012744904, -0.11307910084724426, 0.0008848295547068119, -0.09919847548007965, -0.052163705229759216, -0.04609711468219757, 0.08930971473455429, 0.10831405222415924, -0.07843295484781265, -0.1369457095861435, -0.007882767356932163, -0.10207369923591614, 0.007379893679171801, -0.031998347491025925, 0.03337249159812927, -0.012636035680770874, 0.09261889010667801, 0.12157060950994492, -0.15672416985034943, 0.045360587537288666, -0.12461468577384949, 0.11964841932058334, 0.01869410276412964, -0.10525612533092499, -0.12794391810894012, -0.11180250346660614, 0.10280164331197739, -0.014207365922629833, -0.03388283774256706, -0.11353476345539093, -0.12642592191696167, 0.0858817994594574]"
Dijkstra,Algorithm,Dijkstra shortest path algorithm,"[0.11933477222919464, -0.20312191545963287, 0.285423219203949, -0.005497117061167955, -0.05281852185726166, -0.3385806679725647, 0.001658777822740376, -0.03885908052325249, -0.0586550310254097, -0.0742197334766388, 0.06194765120744705, -0.10444005578756332, 0.024575484916567802, -0.10907959938049316, 0.03595033288002014, -0.07293277233839035, -0.04874217137694359, 0.05286369100213051, -0.11779274791479111, 0.011665436439216137, 0.04257483780384064, 0.20611414313316345, 0.06635454297065735, 0.010164407081902027, 0.005912508815526962, 0.15775582194328308, -0.0070965830236673355, 0.076326884329319, 0.005653578322380781, -0.10520658642053604, -0.18400683999061584, 0.02149187959730625, -0.06214676424860954, 0.13114653527736664, -0.13795261085033417, 0.03970952332019806, 0.20116688311100006, 0.057594332844018936, 0.1652601659297943, -0.12089620530605316, -0.11758960783481598, 0.0745658427476883, -0.01266665942966938, 0.043019045144319534, 0.15500174462795258, 0.0053980471566319466, -0.003792691743001342, -0.1399478316307068, 0.04024285078048706, 0.08532445132732391, 0.23482657968997955, -0.1669149100780487, 0.06112717464566231, -0.0018408942269161344, -0.06819141656160355, 0.057413797825574875, 0.1753186136484146, -0.09171527624130249, -0.06071140989661217, 0.0527677908539772, 0.15721550583839417, -0.1459321528673172, -0.03771541267633438, -0.01404010970145464, 0.11849008500576019, -0.02940264344215393, -0.06634130328893661, -0.03118082322180271, 0.07599058747291565, 0.037797342985868454, 0.1842779815196991, -0.021706270053982735, -0.1987600028514862, -0.17753878235816956, 0.011385247111320496, 0.011341385543346405, -0.08167068660259247, 0.06657998263835907, -0.045686446130275726, 0.20572246611118317, -0.10110301524400711, -0.13564187288284302, 0.24439369142055511, 0.2543702721595764, 0.003780876286327839, 0.09606901556253433, 0.044098060578107834, -0.15548861026763916, 0.010100279003381729, 0.22837430238723755, -0.18817757070064545, -0.009054471738636494, -0.11683683097362518, -0.06105572730302811, 0.21253764629364014, 0.08360175788402557, -0.12890395522117615, -0.1417890042066574, -0.03000037558376789, -0.11559448391199112, 0.05466847866773605, -0.04206697270274162, 0.07756258547306061, 0.028259456157684326, -0.031725358217954636, -0.09391588717699051, -0.05476709082722664, -0.12805552780628204, 0.04023142531514168, -0.07451268285512924, 0.12985248863697052, 0.003969625569880009, 0.18058612942695618, 0.10581567883491516, -0.09019402414560318, -0.07431507855653763, -0.24678827822208405, 0.08423212915658951, 0.093625508248806, 0.028358662500977516, -0.03989604860544205, -0.043891146779060364, 0.015375315211713314, 0.097539521753788, 0.02903037518262863, -0.09267629683017731, -0.21325668692588806, 0.013175804167985916]"
RRT,Algorithm,Rapidly-exploring Random Tree motion planning,"[-0.11395487189292908, 0.020533258095383644, 0.12844105064868927, -0.23035727441310883, -0.10213740915060043, -0.06366529315710068, -0.10721735656261444, 0.015351386740803719, -0.04157326743006706, -0.16113543510437012, 0.1689647138118744, -0.049708712846040726, -0.14664553105831146, -0.145968496799469, -0.03997286781668663, 0.07159064710140228, 0.07893930375576019, -0.06665430217981339, -0.15753307938575745, 0.1975586861371994, 0.08932678401470184, -0.03181123360991478, 0.22930927574634552, -0.05702061951160431, -0.14680393040180206, 0.04806254059076309, -0.13289456069469452, 0.011204492300748825, -0.047019112855196, -0.21948862075805664, -0.2738665044307709, -0.019238518550992012, -0.05270443856716156, 0.005049658939242363, 0.00745781697332859, 0.07540147006511688, 0.10983488708734512, 0.21820931136608124, 0.028642529621720314, 0.016943281516432762, 0.0735161229968071, 0.01532783079892397, -0.13207852840423584, -0.10253135114908218, 0.1301896572113037, 0.2011796236038208, 0.11032991111278534, -0.1997743546962738, -0.06710340827703476, 0.2054634392261505, -0.1127520501613617, 0.12628920376300812, 0.20958352088928223, 0.12743069231510162, 0.11799076199531555, 0.05584472045302391, 0.23537394404411316, 0.025880316272377968, -0.026696976274251938, 0.09107435494661331, -0.03881600499153137, -0.14067620038986206, 0.10026169568300247, -0.11026401817798615, 0.09466232359409332, 0.10326669365167618, 0.12255512923002243, -0.05035481974482536, -0.10672994703054428, -0.11709196120500565, 0.0028646017890423536, -0.10145855695009232, -0.1261354237794876, -0.11530216783285141, -0.11035629361867905, -0.0818164274096489, 0.051473334431648254, -0.11569637805223465, -0.14548267424106598, 0.2629539966583252, 0.13584908843040466, -0.059107907116413116, 0.12028521299362183, 0.13315947353839874, 0.1783941388130188, -0.00022046560479793698, -0.06566649675369263, 0.057604581117630005, 0.03587951511144638, 0.0031222153920680285, -0.18472236394882202, -0.18407030403614044, 0.09859119355678558, 0.06331359595060349, -0.04131177067756653, 0.030454415827989578, -0.1490967720746994, 0.14424225687980652, 0.04770633950829506, -0.18331998586654663, -0.20503102242946625, -0.014360027387738228, 0.07655546814203262, 0.12838557362556458, 0.08862343430519104, -0.23133978247642517, 0.09468197822570801, -0.0725109800696373, -0.10991973429918289, -0.3290509283542633, -0.21147330105304718, 0.0016663536662235856, 0.19709281623363495, 0.04779057577252388, -0.04759736359119415, -0.1598660945892334, 0.007091996725648642, 0.05441676452755928, -0.011232553981244564, 0.07524530589580536, -0.06873337924480438, -0.22487914562225342, 0.10885342955589294, -0.05912631005048752, -0.05300512537360191, 0.041704706847667694, 0.14897850155830383, 0.050051864236593246]"
RRT_star,Algorithm,Optimized RRT converges to optimal solution,"[-0.16192516684532166, -0.028361303731799126, 0.03806792572140694, -0.157474547624588, -0.14474843442440033, -0.09420722723007202, -0.16532281041145325, -0.04869513586163521, 0.04243958368897438, -0.18696770071983337, 0.1953800916671753, 0.06165522336959839, -0.1503356695175171, -0.0017194983083754778, -0.019802529364824295, 0.04731305316090584, 0.12189982831478119, -0.08803901821374893, -0.1794753521680832, 0.06130979210138321, -0.01893528550863266, 0.09892245382070541, 0.1921025663614273, -0.04562640190124512, -0.14076995849609375, 0.036800775676965714, -0.10579554736614227, 0.011449532583355904, -0.10620798170566559, -0.277217298746109, -0.15491320192813873, -0.05045868456363678, -0.023369671776890755, 0.10039723664522171, -0.015011684037744999, 0.24580861628055573, 0.13574425876140594, 0.12499239295721054, 0.09421312063932419, 0.07389570027589798, 0.05718351528048515, 0.09761052578687668, -0.03789001703262329, -0.13108451664447784, 0.09430797398090363, 0.1588459610939026, 0.193974569439888, -0.0850764811038971, -0.1348293423652649, 0.27845117449760437, 0.003234183881431818, 0.06482691317796707, 0.22398218512535095, 0.07330038398504257, 0.05743851885199547, -0.054842811077833176, 0.15418317914009094, -0.003244327614083886, 0.03697366639971733, 0.22273507714271545, 0.009345621801912785, 0.0004373895062599331, 0.003952663391828537, 0.01473153941333294, 0.14548000693321228, 0.16553014516830444, 0.09031154960393906, 0.03235916048288345, -0.12525005638599396, -0.11488047242164612, 0.025624237954616547, -0.13549423217773438, 0.021639632061123848, -0.23186402022838593, 0.030217548832297325, -0.017780428752303123, 0.05738088861107826, 0.005644072312861681, -0.2435460239648819, 0.2295278161764145, 0.03455790504813194, -0.1132502481341362, 0.047376640141010284, 0.1578873097896576, 0.08463210612535477, 0.023821024224162102, -0.01838851161301136, -0.03973672166466713, -0.06073237210512161, 0.01819838024675846, -0.18008625507354736, -0.18052488565444946, 0.09048484265804291, 0.020150260999798775, 0.025792201980948448, -0.018312007188796997, -0.1420498490333557, -0.07524937391281128, 0.06261094659566879, -0.19654305279254913, -0.23289315402507782, -0.013251440599560738, 0.0058699254877865314, 0.15059739351272583, 0.036726269870996475, -0.356813907623291, 0.08434293419122696, 0.09522698074579239, 0.01950884982943535, -0.20152896642684937, -0.21317903697490692, -0.058568138629198074, 0.16528837382793427, 0.12943901121616364, -0.15278741717338562, -0.18073250353336334, -0.0795833095908165, 0.09467288106679916, -0.007381508592516184, 0.04131125286221504, -0.1189885064959526, -0.17792487144470215, 0.003705146722495556, -0.09160029143095016, 0.06624705344438553, 0.06770355999469757, 0.09529237449169159, 0.09599588066339493]"
DWA,Algorithm,Dynamic Window Approach obstacle avoidance,"[-0.07279184460639954, -0.4081052541732788, 0.2814875841140747, -0.12424696236848831, 0.13197429478168488, -0.22997747361660004, -0.10619714111089706, 0.04722784459590912, -0.03016587533056736, -0.15177330374717712, 0.14023765921592712, -0.2697902321815491, -0.23104844987392426, 0.0055588060058653355, 0.052634842693805695, -0.013653394766151905, 0.049649085849523544, -0.03126996010541916, -0.02743740938603878, -0.038320690393447876, 0.2826458513736725, 0.06884152442216873, -0.07323767989873886, -0.21312850713729858, -0.08422435075044632, 0.1395399272441864, -0.14031194150447845, -0.07031162083148956, 0.02624780312180519, 0.10288609564304352, -0.10192415863275528, -0.027118727564811707, -0.22565457224845886, 0.06073693931102753, 0.10591829568147659, 0.16693410277366638, 0.009486200287938118, -0.015725284814834595, 0.20680931210517883, -0.17242257297039032, -0.11279338598251343, -0.037016890943050385, 0.1289985030889511, 0.03752674162387848, 0.04894901439547539, -0.10609620064496994, 0.030764101073145866, -0.042473334819078445, -0.10660280287265778, 0.10207278281450272, 0.0009349152678623796, 0.027981331571936607, 0.05683508515357971, -0.0033266667742282152, 0.02584644965827465, -0.15147946774959564, 0.18885034322738647, 0.08099737763404846, -0.04126965254545212, 0.08581296354532242, -0.07806134223937988, -0.09216239303350449, 0.13541503250598907, -0.19832031428813934, 0.18772312998771667, 0.1394362449645996, -0.09489530324935913, 0.0835108757019043, 0.13669782876968384, 0.14862927794456482, 0.07135089486837387, -0.08136270195245743, -0.24358952045440674, -0.15441644191741943, -0.12476788461208344, -0.3120928406715393, -0.1509321928024292, 0.16707764565944672, -0.008142617531120777, 0.09141264110803604, -0.06381554901599884, 0.04376819357275963, 0.15814031660556793, 0.3721426725387573, 0.09286203235387802, 0.02955983392894268, 0.20254813134670258, -0.12619705498218536, -0.06546223163604736, 0.09965524077415466, 0.16305939853191376, -0.011343445628881454, -0.17270494997501373, 0.06604614853858948, 0.28209957480430603, -0.022832974791526794, -0.1944202184677124, -0.20766736567020416, -0.1674841046333313, -0.1333201378583908, -0.15057259798049927, 0.0916505828499794, -0.336185097694397, 0.07829495519399643, 0.20300449430942535, 0.16330254077911377, -0.21637001633644104, -0.17533130943775177, -0.03647610917687416, -0.12769664824008942, -0.018012147396802902, -0.01597454398870468, -0.08247839659452438, 0.06355320662260056, -0.05665978044271469, 0.02117856591939926, 0.026140140369534492, -0.01351237017661333, 0.1637926995754242, -0.04624667391180992, -0.03253121301531792, -0.01461017969995737, -0.10953091084957123, 0.05477984994649887, 0.101704441010952, 0.013942110352218151, -0.09466303139925003, 0.33117127418518066]"
Potential_Field,Algorithm,Potential field navigation method,"[0.1248440369963646, -0.34538716077804565, 0.29383596777915955, -0.2699951231479645, 0.0075311302207410336, -0.18131375312805176, -0.24992603063583374, 0.26980534195899963, 0.01803630031645298, -0.04769207164645195, 0.0034384916070848703, -0.19220644235610962, -0.012954034842550755, 0.07809731364250183, 0.10022042691707611, -0.06169022247195244, 0.1266411393880844, 0.1360442340373993, -0.03656306862831116, -0.0926804319024086, 0.28616631031036377, -0.018712392076849937, -0.08482854813337326, -0.10431838780641556, -0.042465317994356155, -0.06670468300580978, -0.14656443893909454, -0.24163296818733215, 0.11716454476118088, 0.1360119879245758, -0.0029299042653292418, 0.16706059873104095, -0.0693221166729927, 0.042703792452812195, 0.10414375364780426, 0.11973690986633301, 0.12733182311058044, 0.10784514993429184, 0.02005292847752571, -0.0555926114320755, -0.000472811923827976, 0.0434439592063427, 0.2346135526895523, 0.1510825753211975, -0.03853052482008934, -0.09766246378421783, -0.07728331536054611, -0.02465836890041828, 0.052359018474817276, -0.03604428470134735, 0.03430789336562157, 0.0037331271450966597, 0.01079163420945406, -0.009509262628853321, 0.08186554908752441, 0.008257295936346054, 0.09969640523195267, 0.19928286969661713, -0.06008858233690262, 0.0415557362139225, -0.11797962337732315, 0.0006296762730926275, 0.034165795892477036, -0.1370040327310562, 0.37163376808166504, 0.022466769441962242, -0.1540902704000473, -0.11479257047176361, 0.28647172451019287, -0.06715793162584305, 0.050365149974823, -0.04859813675284386, -0.2988242208957672, -0.2460169792175293, -0.09206904470920563, -0.3452483117580414, -0.09143339097499847, 0.09286485612392426, 0.009842878207564354, 0.1600165069103241, -0.03380133584141731, -0.07767331600189209, 0.23970335721969604, 0.3476155400276184, 0.11196093261241913, 0.16286423802375793, 0.1448940634727478, -0.16569006443023682, -0.02783585712313652, 0.03962111473083496, 0.025446424260735512, 0.10059897601604462, -0.19959160685539246, 0.16243654489517212, 0.15600430965423584, 0.14494606852531433, -0.12214238941669464, -0.21396221220493317, -0.13130198419094086, -0.12304103374481201, -0.1095370277762413, 0.15690572559833527, -0.22844655811786652, 0.06918700784444809, -0.04024571180343628, 0.027939418330788612, -0.14310139417648315, -0.11947063356637955, -0.16531917452812195, -0.04317892715334892, -0.04376983270049095, -0.07806304097175598, -0.015173457562923431, 0.15478546917438507, -0.14434455335140228, -0.1066087931394577, -0.023824837058782578, 0.11716832965612411, 0.16696277260780334, -0.059191666543483734, -0.02361602708697319, -0.23691581189632416, -0.11090902984142303, -0.07906818389892578, 0.046019937843084335, 0.2974674105644226, -0.10245005041360855, 0.3123210370540619]"
SLAM,Algorithm,Simultaneous Localization and Mapping,"[-0.14244410395622253, -0.18927371501922607, 0.055985309183597565, -0.10067243129014969, -0.025575395673513412, -0.16340996325016022, 0.10865753144025803, -0.09315211325883865, -0.13134358823299408, -0.009978104382753372, 0.201140895485878, 0.046554699540138245, -0.21767152845859528, 0.0017658714205026627, 0.09811854362487793, 0.15395411849021912, 0.1106085553765297, -0.08127228915691376, -0.04543397203087807, 0.0936831533908844, 0.07354490458965302, 0.0988348126411438, -0.03172903507947922, -0.05756913498044014, -0.04788495600223541, -0.10044750571250916, -0.24231921136379242, -0.021058380603790283, 0.019727453589439392, -0.20683015882968903, -0.13461850583553314, -0.15602558851242065, 0.03635554015636444, 0.09474970400333405, -0.10791851580142975, 0.09269541501998901, 0.260966032743454, 0.024088334292173386, 0.19588659703731537, -0.11682558059692383, 0.24050752818584442, -0.07071301341056824, 0.16402268409729004, -0.18216244876384735, 0.14411182701587677, 0.1578194797039032, 0.049040962010622025, -0.15371868014335632, 0.07119090110063553, 0.01696678437292576, 0.06285782903432846, -0.07618280500173569, 0.24629521369934082, -0.045686833560466766, 0.27974334359169006, 0.10585232079029083, 0.13053658604621887, 0.05291756987571716, 0.10896090418100357, 0.08152763545513153, 0.21214580535888672, -0.07888112217187881, -0.03381190076470375, 0.017505478113889694, -0.111201211810112, -0.01565481722354889, 0.03208054229617119, 0.1088140457868576, -0.21939235925674438, -0.07401745021343231, 0.24446718394756317, 0.0068275765515863895, -0.09296911954879761, -0.04393767938017845, -0.07261607050895691, -0.1679009199142456, -0.1096368283033371, -0.11828604340553284, 0.11798235028982162, 0.24206143617630005, 0.12611036002635956, -0.20551684498786926, 0.009922130964696407, 0.35473981499671936, 0.23289474844932556, 0.11736693978309631, 0.11841154098510742, 0.07309750467538834, 0.1417732685804367, 0.08833953738212585, -0.04473212733864784, -0.08397537469863892, 0.02914447896182537, -0.003135138191282749, 0.08293643593788147, -0.00448645232245326, -0.02836669608950615, 0.09554217010736465, -0.2094068080186844, -0.017894208431243896, 0.02394152618944645, 0.2448674589395523, 0.06782905012369156, 0.004509116522967815, 0.0631868839263916, -0.006643194239586592, 0.08957622945308685, 0.13536997139453888, 0.019574079662561417, -0.29495522379875183, 0.048732656985521317, 0.19792935252189636, 0.004112983122467995, -0.18009907007217407, -0.04673241078853607, -0.35689112544059753, 0.05460914969444275, 0.20747406780719757, -0.17179365456104279, -0.18435023725032806, -0.1717420220375061, 0.02632884308695793, -0.1255880445241928, -0.020734701305627823, -0.1025872528553009, 0.17300944030284882, 0.10771747678518295, 0.04993416368961334]"
AMCL,Algorithm,Adaptive Monte Carlo Localization,"[-0.16277889907360077, -0.013479001820087433, 0.13599656522274017, 0.022980855777859688, -0.10372327268123627, -0.10820862650871277, 0.12287469208240509, -0.2439246028661728, -0.08436670899391174, 0.2113906592130661, 0.08056747913360596, 0.060857806354761124, -0.0729554146528244, -0.11260269582271576, -0.023004259914159775, 0.19125236570835114, 0.02552577666938305, 0.0018510292284190655, -0.10784360021352768, 0.09927020221948624, -0.0382499136030674, 0.3394607901573181, 0.020969461649656296, -0.11139160394668579, 0.008029336109757423, 0.023942647501826286, -0.22393423318862915, -0.016603786498308182, 0.04467376321554184, -0.20125964283943176, -0.258421391248703, -0.07018055766820908, -0.12584719061851501, 0.1098281517624855, -0.0903298631310463, 0.0326836071908474, 0.22867466509342194, -0.15533486008644104, 0.1986200511455536, 0.04654174670577049, -0.09294822067022324, -0.10689642280340195, 0.13974733650684357, -0.09260815382003784, 0.06298734247684479, 0.04465530812740326, -0.1613253951072693, -0.09717963635921478, 0.0018157899612560868, -0.10239950567483902, 0.2224043756723404, -0.024523459374904633, 0.09733615070581436, -0.16835148632526398, 0.05937264859676361, 0.2911268174648285, 0.16897429525852203, 0.04432634636759758, -0.04435879737138748, 0.05014752596616745, 0.06827748566865921, -0.09753205627202988, -0.054798513650894165, -0.05749797075986862, 0.09422358125448227, -0.006092822179198265, 0.12506186962127686, 0.04199955612421036, -0.12322910130023956, -0.1701710820198059, 0.2591575086116791, 0.05892140790820122, -0.27252864837646484, -0.03598708286881447, -0.05409272387623787, -0.28198662400245667, -0.18808960914611816, -0.0759725496172905, 0.11498288810253143, 0.2721133232116699, 0.15417766571044922, -0.056529488414525986, 0.07926689833402634, 0.3835170865058899, 0.07791566848754883, 0.09046955406665802, 0.07454098016023636, -0.04212094843387604, 0.16240818798542023, 0.11942632496356964, -0.029777463525533676, -0.01538037322461605, 0.09716611355543137, -0.01485002413392067, 0.24642977118492126, -0.019555076956748962, -0.14690960943698883, -0.04681399464607239, -0.21900027990341187, -0.08628667891025543, 0.12663687765598297, -0.031374264508485794, 0.06327056884765625, 0.18550635874271393, 0.04947071522474289, -0.012186265550553799, 0.11869432777166367, -0.048051442950963974, -0.03848707303404808, -0.10106973350048065, 0.12100210785865784, -0.03438606858253479, 0.14006271958351135, 0.03787441924214363, -0.1282757967710495, -0.10263200104236603, 0.026325901970267296, 0.22742705047130585, 0.01811332069337368, -0.141231507062912, -0.09544429183006287, 0.08792443573474884, 0.03284933790564537, 0.10216928273439407, -0.1117909699678421, -0.05565327778458595, -0.06582637131214142, -0.15874528884887695]"
EKF_SLAM,Algorithm,Extended Kalman Filter SLAM,"[0.1303374022245407, -0.20911630988121033, 0.06242179125547409, 0.14177678525447845, 0.014195802621543407, -0.13023044168949127, 0.05607572942972183, -0.08750130981206894, 0.06582124531269073, -0.0026304014027118683, -0.10811857134103775, 0.030029499903321266, 0.13013218343257904, -0.1100006103515625, 0.2450067102909088, 0.28666090965270996, 0.1571444869041443, -0.13122475147247314, -0.2031576782464981, 0.04055836796760559, 0.034362487494945526, 0.16847418248653412, 0.1460387408733368, -0.08072520047426224, -0.12781819701194763, 0.07295051217079163, 0.09433295577764511, -0.01886487379670143, 0.06837973743677139, -0.09291134774684906, -0.16164809465408325, -0.1923598200082779, -0.03532731160521507, 0.13662683963775635, -0.26940205693244934, 0.31795617938041687, 0.3933565020561218, 0.05809952691197395, 0.29717883467674255, 0.037104055285453796, 0.07870557904243469, -0.0900353416800499, 0.20706211030483246, 0.059182308614254, 0.06483171880245209, 0.13139767944812775, 0.013124847784638405, -0.060481343418359756, -0.03132578730583191, -0.12122593075037003, 0.13696466386318207, 0.007722341455519199, 0.34789085388183594, 0.041138626635074615, -0.04590672254562378, 0.1642635464668274, 0.33349645137786865, 0.15098196268081665, -0.0723782554268837, -0.06376386433839798, -0.14569631218910217, -0.02595924772322178, 0.0469215102493763, 0.04667184501886368, 0.08497238159179688, -0.029414117336273193, 0.02365919016301632, -0.1420387476682663, -0.164793461561203, -0.09906981140375137, 0.3034350275993347, -0.08832591772079468, -0.2545355558395386, -0.08861026167869568, 0.028450781479477882, -0.1488661915063858, -0.08904369920492172, -0.003952981438487768, 0.15822173655033112, 0.1908544898033142, 0.13716454803943634, -0.029167313128709793, 0.16067740321159363, 0.4253609776496887, -0.04250387102365494, 0.1872684508562088, 0.17805440723896027, -0.06446093320846558, 0.01730192080140114, 0.1261618733406067, -0.07711595296859741, -0.036491408944129944, 0.13183574378490448, 0.02056320570409298, 0.1322064846754074, 0.11131551116704941, -0.09124264121055603, -0.060437288135290146, 0.04179735109210014, -0.12460652738809586, -0.039590492844581604, 0.16332527995109558, 0.040775567293167114, -0.07052388042211533, 0.21053138375282288, -0.07830560952425003, 0.026139035820961, 0.09932714700698853, 0.10161013901233673, -0.0836113840341568, 0.03452245518565178, 0.19291669130325317, -0.03712761774659157, -0.04982832446694374, 0.08313512802124023, -0.2363235056400299, 0.05388616770505905, 0.09078048914670944, -0.011588044464588165, -0.17234982550144196, 0.05790814757347107, -0.1974157989025116, -0.04860705882310867, 0.05624089390039444, 0.09051241725683212, -0.015509006567299366, -0.10153263807296753, 0.06963872909545898]"
FastSLAM,Algorithm,Particle filter based SLAM,"[-0.22440840303897858, 0.06845147907733917, 0.05875556543469429, 0.15251997113227844, -0.1516990065574646, 0.06531307846307755, 0.0461561419069767, -0.2160070389509201, -0.032197121530771255, -0.028290508314967155, 0.1561334878206253, -0.02184547670185566, 0.05377267673611641, -0.13556121289730072, 0.02516166865825653, 0.26656490564346313, 0.11077244579792023, -0.05926952883601189, 0.10910604149103165, 0.016334161162376404, -0.2523816227912903, 0.3426375389099121, -0.027898095548152924, -0.1701495349407196, -0.21770812571048737, -0.08739303052425385, -0.12261350452899933, 0.02109691873192787, -0.11239439994096756, -0.21472205221652985, 0.10213574022054672, -0.1202608197927475, -0.10391068458557129, 0.07336235046386719, 0.026839854195713997, 0.11316615343093872, 0.3413591980934143, 0.21966154873371124, 0.050250742584466934, -0.11307024210691452, 0.08122525364160538, -0.10833252221345901, 0.22825390100479126, -0.049380261451005936, 0.3506617844104767, 0.11247031390666962, -0.004786930046975613, -0.2294866442680359, -0.16774369776248932, 0.19318878650665283, 0.08071505278348923, 0.02471902035176754, 0.23746173083782196, -0.1792953461408615, 0.1383005678653717, 0.04099610075354576, 0.15537849068641663, 0.12568709254264832, -0.11311440914869308, -0.04478583112359047, -0.03491102531552315, 0.04309333115816116, 0.05029117688536644, -0.002641982864588499, -0.014307310804724693, 0.06323475390672684, -0.03737359866499901, -0.16079658269882202, -0.06207587197422981, -0.2163666933774948, 0.28183555603027344, -0.01708243042230606, -0.246149942278862, 0.02564290352165699, -0.1181827187538147, -0.13519394397735596, -0.012945105321705341, 0.07170701771974564, 0.06586374342441559, 0.27925586700439453, 0.21121826767921448, 0.18462485074996948, 0.11947930604219437, 0.33042874932289124, 0.1761026531457901, 0.21635010838508606, 0.1590665727853775, -0.03796258941292763, 0.08401165902614594, 0.06627343595027924, -0.15096616744995117, -0.04955139383673668, 0.02081330679357052, 0.16369645297527313, 0.19830361008644104, 0.0956868827342987, -0.09809480607509613, 0.04609711095690727, -0.11574146151542664, -0.11607317626476288, -0.07902967929840088, 0.022331474348902702, -0.14793828129768372, 0.06355179846286774, 0.12999095022678375, -0.07195977866649628, 0.13947883248329163, 0.15684087574481964, -0.0308072492480278, -0.18439197540283203, 0.19034500420093536, 0.09641191363334656, 0.06279344111680984, -0.021426429972052574, -0.08425894379615784, -0.38155046105384827, 0.125139519572258, 0.1025296077132225, -0.2718981206417084, -0.037924040108919144, 0.07104793190956116, -0.010631687939167023, -0.08648177236318588, -0.12024341523647308, 0.11181266605854034, -0.002155045047402382, -0.053721677511930466, 0.16706034541130066]"
